model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
resnet50,fp16,64,4668.262477518259,13.662219047546387,0.6854798793792725,1
resnet50,fp16,768,3405.045634777008,225.48384189605713,11.277381896972656,1
resnet50,fp16,8,808.0245626286829,9.858837127685547,0.49503445625305176,1
resnet50,fp16,96,4244.432516533813,22.565979957580566,1.1308932304382324,1
resnet50,fp32,1024,1854.156674038769,552.1949625015259,27.61363196372986,1
resnet50,fp32,128,1968.980881843157,64.93856906890869,3.2504124641418457,1
resnet50,fp32,12,2035.2548129996483,5.865793228149414,0.2948033809661865,1
resnet50,fp32,16,2209.6348426888526,7.201666831970215,0.36205077171325684,1
resnet50,fp32,192,1900.0504631292142,100.97717761993408,5.052497386932373,1
resnet50,fp32,1,139.966522594579,7.109594345092773,0.35722827911376953,1
resnet50,fp32,24,2761.1256334115433,8.65628719329834,0.43460536003112793,1
resnet50,fp32,256,1882.3347390426948,135.92247009277344,6.800065755844116,1
resnet50,fp32,2,317.666554575006,6.261143684387207,0.31479549407958984,1
resnet50,fp32,32,2648.4657305780825,12.039899826049805,0.6041233539581299,1
resnet50,fp32,384,1858.4465439029311,206.5376853942871,10.331209182739258,1
resnet50,fp32,48,2313.401015601731,20.67293643951416,1.0374336242675781,1
resnet50,fp32,4,516.9046630195938,7.695960998535156,0.3869185447692871,1
resnet50,fp32,512,1851.3666914534729,276.4790916442871,13.827622652053833,1
resnet50,fp32,64,2255.1249093532647,28.327817916870117,1.418990135192871,1
resnet50,fp32,768,1849.9809369391328,415.038800239563,20.756970643997192,1
resnet50,fp32,8,1160.7381250207557,6.856446266174316,0.3446083068847656,1
resnet50,fp32,96,2019.5586628375354,47.47607707977295,2.3767569065093994,1
